ip,sospechosa,city,region,country_name,continent_code,in_eu,latitude,longitude,utc_offset,org
1.178.63.252,1,Buenos Aires,Buenos Aires,Argentina,SA,0,-36,-59.9964,-300,HUAWEI CLOUDS
138.117.100.25,3,Juiz de Fora,Minas Gerais,Brazil,SA,0,-21.749,-43.4382,-300,Intermicro Ltda
103.50.33.251,0,Buenos Aires,Buenos Aires,Argentina,SA,0,-36,-59.9964,-300,LATITUDE-SH
119.8.22.215,0,Central,Central and Western District,Hong Kong,AS,0,22.2908,114.1501,800,HUAWEI CLOUDS
103.100.2.25,0,Beijing,Beijing,China,AS,0,39.9143,116.3861,800,
104.29.3.15,0,New Delhi,National Capital Territory of Delhi,India,AS,0,28.6328,77.2204,530,CLOUDFLARENET
102.165.5.4,0,Frankfurt am Main,Hesse,Germany,EU,1,50.1188,8.6843,200,Hivelocity Inc
103.255.6.25,4,Gojra,Punjab,Pakistan,AS,0,31.1477,72.6823,500,CMPak Limited
104.133.21.25,0,Chicago,Illinois,United States,NA,0,41.8972,-87.6196,-500,GOOGLE-IT
