antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'cloexec'}),frozenset({'o'}),0.01459224682590819,0.19806796427031811,0.01358729158071858,0.9311308767471411,4.701067535971427,0.010697034957780934,11.644289891499268,0.7989406981073943
frozenset({'cloexec'}),frozenset({'rdonly'}),0.01459224682590819,0.19666529149728135,0.01275106498370656,0.8738246505717916,4.443207257971451,0.009881276508089048,6.3668118387879105,0.7864128808596919
frozenset({'cmdline'}),frozenset({'proc'}),0.054604113456109694,0.19937143943151425,0.054604113456109694,1.0,5.015763555960624,0.043717612757483384,inf,0.8468712123292238
frozenset({'largefile'}),frozenset({'o'}),0.09737497160816017,0.19806796427031811,0.09737497160816017,1.0,5.048772039860143,0.07808810921085185,inf,0.888444271436216
frozenset({'largefile'}),frozenset({'rdonly'}),0.09737497160816017,0.19666529149728135,0.09719419091368417,0.9981434583087381,5.075341208962316,0.07804391373782585,432.7049116557556,0.8895930057513656
frozenset({'usr'}),frozenset({'lib'}),0.014953808214860174,0.017120395307118588,0.012256931085472185,0.8196528208307501,47.875811634439415,0.012000915977486941,5.449930568475823,0.9939763574679817
frozenset({'rdonly'}),frozenset({'o'}),0.19666529149728135,0.19806796427031811,0.19666529149728135,1.0,5.048772039860143,0.15771219756778612,inf,0.998253937296384
frozenset({'o'}),frozenset({'rdonly'}),0.19806796427031811,0.19666529149728135,0.19666529149728135,0.9929182249224189,5.048772039860143,0.15771219756778612,113.43691372602996,1.0
frozenset({'stat'}),frozenset({'proc'}),0.055044476686243515,0.19937143943151425,0.055044476686243515,1.0,5.015763555960624,0.044070180136552714,inf,0.8472658668218086
frozenset({'status'}),frozenset({'proc'}),0.05464861331936532,0.19937143943151425,0.05464861331936532,1.0,5.015763555960624,0.04375324061894723,inf,0.8469110765042541
"frozenset({'rdonly', 'cloexec'})",frozenset({'o'}),0.01275106498370656,0.19806796427031811,0.01275106498370656,1.0,5.048772039860143,0.010225487500105265,inf,0.8122895931171067
"frozenset({'cloexec', 'o'})",frozenset({'rdonly'}),0.01358729158071858,0.19666529149728135,0.01275106498370656,0.9384552401746724,4.771839672521195,0.010078916324325983,13.052853090704913,0.8013250545449525
frozenset({'cloexec'}),"frozenset({'rdonly', 'o'})",0.01459224682590819,0.19666529149728135,0.01275106498370656,0.8738246505717916,4.443207257971451,0.009881276508089048,6.3668118387879105,0.7864128808596919
"frozenset({'largefile', 'rdonly'})",frozenset({'o'}),0.09719419091368417,0.19806796427031811,0.09719419091368417,1.0,5.048772039860143,0.07794313538051009,inf,0.8882663665415232
"frozenset({'largefile', 'o'})",frozenset({'rdonly'}),0.09737497160816017,0.19666529149728135,0.09719419091368417,0.9981434583087381,5.075341208962316,0.07804391373782585,432.7049116557556,0.8895930057513656
frozenset({'largefile'}),"frozenset({'rdonly', 'o'})",0.09737497160816017,0.19666529149728135,0.09719419091368417,0.9981434583087381,5.075341208962316,0.07804391373782585,432.7049116557556,0.8895930057513656
